     62	NGC 247	Spiral Galaxy	Cet	9.1	Size: 20 x 7	0	47.1	-	20	46
     63	NGC 7293	Planetary Nebula	Aqr	7.3	Size: 13	22	29.6	-	20	48
     64	NGC 2362	Open Cluster	CMa	4.1	Size: 8	7	18.8	-	24	57
     65	NGC 253	Spiral Galaxy	Scl	7.1	Size: 25 x 7	0	47.6	-	25	17
     66	NGC 5694	Globular Cluster	Hya	10.2	Size: 3.6	14	39.6	-	26	32
     67	NGC 1097	Spiral Galaxy	For	9.2	Size: 9 x 7	2	46.3	-	30	17
     68	NGC 6729	Bright Nebula	CrA	--	Size: 1	19	1.9	-	36	57
     69	NGC 6302	Planetary Nebula	Sco	9.6	Size: 0.8	17	13.7	-	37	6
     70	NGC 300	Spiral Galaxy	Scl	8.7	Size: 20 x 13	0	54.9	-	37	41
     71	NGC 2477	Open Cluster	Pup	5.8	Size: 27	7	52.3	-	38	33
     72	NGC 55	Spiral Galaxy	Scl	7.9	Size: 32 x 6	0	14.9	-	39	11
     73	NGC 1851	Globular Cluster	Col	7.3	Size: 11	5	14.1	-	40	3
     74	NGC 3132	Planetary Nebula	Vel	9.4	Size: 0.8	10	7.7	-	40	26
     75	NGC 6124	Open Cluster	Sco	5.8	Size: 29	16	25.6	-	40	40
     76	NGC 6231	Open Cluster	Sco	2.6	Size: 15	16	54	-	41	48
     77	NGC 5128	Elliptical Galaxy	Cen	7	Size: 18 x 14	13	25.5	-	43	1
     78	NGC 6541	Globular Cluster	CrA	6.6	Size: 13	18	8	-	43	42
     79	NGC 3201	Globular Cluster	Vel	6.7	Size: 18	10	17.6	-	46	25
     80	NGC 5139	Globular Cluster	Cen	3.6	Size: 36	13	26.8	-	47	29
     81	NGC 6352	Globular Cluster	Ara	8.1	Size: 7	17	25.5	-	48	25
     82	NGC 6193	Open Cluster	Ara	5.2	Size: 15	16	41.3	-	48	46
     83	NGC 4945	Spiral Galaxy	Cen	8.7	Size: 20 x 4	13	5.4	-	49	28
     84	NGC 5286	Globular Cluster	Cen	7.6	Size: 9	13	46.4	-	51	22
     85	IC 2391	Open Cluster	Vel	2.5	Size: 50	8	40.2	-	53	4
     86	NGC 6397	Globular Cluster	Ara	5.6	Size: 26	17	40.7	-	53	40
     87	NGC 1261	Globular Cluster	Hor	8.4	Size: 7	3	12.3	-	55	13
     88	NGC 5823	Open Cluster	Cir	7.9	Size: 10	15	5.7	-	55	36
     89	NGC 6087	Open Cluster	Nor	5.4	Size: 12	16	18.9	-	57	54
     90	NGC 2867	Planetary Nebula	Car	--	Size: 0.2	9	21.4	-	58	19
     91	NGC 3532	Open Cluster	Car	3	Size: 55	11	6.4	-	58	40
     92	NGC 3372	Bright Nebula	Car	--	Size: 120 x 120	10	43.8	-	59	52
     93	NGC 6752	Globular Cluster	Pav	5.4	Size: 20	19	10.9	-	59	59
     94	NGC 4755	Open Cluster	Cru	4.2	Size: 10	12	53.6	-	60	20
     95	NGC 6025	Open Cluster	TrA	5.1	Size: 12	16	3.7	-	60	30
     96	NGC 2516	Open Cluster	Car	3.8	Size: 30	7	58.3	-	60	52
     97	NGC 3766	Open Cluster	Cen	5.3	Size: 12	11	36.1	-	61	37
     98	NGC 4609	Open Cluster	Cru	6.9	Size: 5	12	42.3	-	62	58
     99	none	Dark Nebula	Cru	--	Size: 400 x 300	12	53	-	63	0
    100	IC 2944	Open Cluster	Cen	4.5	Size: 15	11	36.6	-	63	2
    101	NGC 6744	Spiral Galaxy	Pav	8.3	Size: 16 x 10	19	9.8	-	63	51
    102	IC 2602	Open Cluster	Car	1.9	Size: 50	10	43.2	-	64	24
    103	NGC 2070	Bright Nebula	Dor	--	Size: 40 x 25	5	38.7	-	69	6
    104	NGC 362	Globular Cluster	Tuc	6.6	Size: 13	1	3.2	-	70	51
    105	NGC 4833	Globular Cluster	Mus	7.3	Size: 14	12	59.6	-	70	53
    106	NGC 104	Globular Cluster	Tuc	4	Size: 31	0	24.1	-	72	5
    107	NGC 6101	Globular Cluster	Aps	9.3	Size: 11	16	25.8	-	72	12
    108	NGC 4372	Globular Cluster	Mus	7.8	Size: 19	12	25.8	-	72	40
    109	NGC 3195	Planetary Nebula	Cha	--	Size: 0.6	10	9.5	-	80	52
