Col #	NGC/Other Cat.	Con	RA	DEC	m (v/p)	# Stars	Size	Class	n
137	2367	Cma	07h 20m 04.5s	-21º 53' 03"	7.9v	(30)	3.5	Plei	 
138	2368	Mon	07h 21m 06.3s	-10º 22' 18"	11.8v	(15)	5	Praes	 
139	2374	Cma	07h 23m 56.1s	-13º 15' 48"	8.0v	40	19	Plei	 
140	 	Cma	07h 23m 54.0s	-32º 12' 00"	3.5v	15	42	Plei	 
141	2383	Cma	07h 24m 39.9s	-20º 56' 51"	8.4v	25±	5	Praes	 
142	2384a	Cma	07h 25m 11.8s	-21º 01' 24"	7.4v	(15)	2.5	μNorm	 
143	2384b	Cma	07h 25m 11.8s	-21º 01' 24"	nl	nl	nl	μNorm	 
144	2395	Gem	07h 27m 12.9s	+13º 36' 29"	8.0v	22	12	Plei	 
145	Tr.6	Cma	07h 26m 06.0s	-24º 18' 00"	10.0p	20	6	Plei	 
146	Tr.7	Pup	07h 27m 18.0s	-24º 02' 00"	7.9v	12±	5	Plei	 
147	Mel.66	Pup	07h 26m 23.0s	-47º 40' 00"	7.8p	(200)	10	Praes	 
148	2396	Pup	07h 28m 02.9s	-11º 43' 11"	7.4v	40	10	Plei	 
149	2401	Pup	07h 29m 24.4s	-13º 57' 58"	12.6v	(20)	2	Praes	 
150	2414	Pup	07h 33m 12.8s	-15º 27' 14"	7.9v	(35)	4	Plei	 
151	2421	Pup	07h 36m 11.8s	-20º 36' 44"	8.3v	28	10	Praes	 
152	2422 (M47)	Pup	07h 36m 35.0s	-14º 28' 57"	4.4v	50	29	Plei	 
153	2423	Pup	07h 37m 06.7s	-13º 52' 17"	6.7v	40	19	Praes	 
154	2420	Gem	07h 38m 23.9s	+21º 34' 27"	8.3v	(100+)	10	Plei	 
155	Mel.71	Pup	07h 37m 30.0s	-12º 04' 00"	7.1v	60	9	Praes	 
156	Mel.72	Mon	07h 38m 24.0s	-10º 41' 00"	10.1p	24	9	Praes	15
157	2432	Pup	07h 40m 53.8s	-19º 05' 09"	10.2v	(50+)	7	Praes	 
158	2439	Pup	07h 40m 45.4s	-31º 41' 33"	6.9v	26	10	Plei	 
159	2437 (M46)	Pup	07h 41m 46.8s	-14º 48' 36"	6.1v	125	27	Praes	 
160	2447 (M93)	Pup	07h 44m 29.2s	-23º 51' 11"	6.2v	80	22	Praes	 
161	2451	Pup	07h 45m 15.0s	-37º 58' 03"	2.8v	35	45	Plei	 
162	2453	Pup	07h 47m 34.1s	-27º 11' 41"	8.3v	10	5	Plei	 
163	2455	Pup	07h 48m 58.6s	-21º 17' 53"	10.2v	20	7	Plei	 
164	2467	Pup	07h 52m 29.5s	-26º 25' 48"	7.1v	20	15	Neb	 
165	2477	Pup	07h 52m 09.8s	-38º 32' 00"	5.8v	300	27	Glob	 
166	2482	Pup	07h 55m 10.3s	-24º 15' 17"	7.3v	28	12	Plei	 
167	Tr.8	Pup	07h 55m 04.0s	-17º 42' 35"	9.6p	30	7	Praes	 
168	Tr.9	Pup	07h 55m 18.0s	-25º 56' 00"	8.7v	14	5	Plei	 
169	2489	Pup	07h 56m 15.9s	-30º 03' 51"	7.9v	60	8	Praes	 
170	2506	Mon	08h 00m 01.7s	-10º 46' 11"	7.6v	80	8	Praes	 
171	2509	Pup	08h 00m 47.8s	-19º 03' 02"	9.3v	30	8	Plei	 
172	2516	Car	07h 58m 07.1s	-60º 45' 12"	3.8v	70	29	Praes	 
173	 	Vel	08h 02m 49.0s	-46º 23' 00"	0.6v	70	370	Plei	 
174	2527	Pup	08h 04m 58.2s	-28º 08' 48"	6.5v	40	22	Plei	 
175	2533	Pup	08h 07m 04.1s	-29º 53' 02"	7.6v	30±	3.5	Praes	 
176	2539	Pup	08h 10m 37.9s	-12º 49' 09"	6.5v	65	21	Praes	 
177	2547	Vel	08h 10m 10.5s	-49º 13' 32"	4.7v	40	20	Plei	 
178	2546	Pup	08h 12m 15.6s	-37º 35' 39"	6.3v	40	40	Plei	 
179	2548 (M48)	Hya	08h 13m 43.1s	-05º 45' 02"	5.8v	90	54	Praes	 
180	2567	Pup	08h 18m 29.1s	-30º 38' 44"	7.4v	40	10	Plei	 
181	2571	Pup	08h 18m 56.3s	-29º 44' 57"	7.0v	20	13	Plei	 
182	2579	Pup	08h 20m 53.0s	-36º 13' 02"	7.5v	14	10	Plei	16
183	2580	Pup	08h 21m 27.9s	-30º 17' 36"	9.7v	25	7	Praes	 
184	2587	Pup	08h 23m 24.1s	-29º 30' 31"	9.2v	18	9	Plei	 
185	 	Pup	08h 22m 30.0s	-36º 10' 00"	7.8v	15	8	Plei	 
186	2588	Pup	08h 23m 09.5s	-32º 58' 31"	11.8v	(20+)	2	Praes	 
187	 	Pup	08h 24m 12.0s	-29º 09' 00"	9.6p	(20)	7	Plei	 
188	2627	Pyx	08h 37m 14.9s	-29º 57' 01"	8.4v	30	11	Praes	 
189	2632 (M44)	Cnc	08h 40m 22.2s	+19º 40' 19"	3.1v	60	95	Praes	 
190	2635	Pyx	08h 38m 26.0s	-34º 46' 18"	11.2v	(15)	3	Praes	 
191	IC2391	Vel	08h 40m  21.0s	-53º 05' 21"	2.0v	15	60	Plei	17
192	IC2395	Vel	08h 42m 31.0s	-48º 06' 30"	4.0v	19	7	Plei	 
193	2660	Vel	08h 42m 38.0s	-47º 12' 02"	8.8v	(70)	4	Glob	 
194	2659	Vel	08h 42m 33.0s	-45º 00' 02"	8.6v	35	2.7	Praes	 
195	2658	Pyx	08h 43m 27.3s	-32º 39' 22"	9.2v	40	12	Praes	 
196	 	Pyx	08h 45m 00.0s	-31º 38' 00"	10.5p	(12)	5	Praes	 
197	 	Vel	08h 44m 51.0s	-41º 14' 00"	6.7p	14	40	Plei	 
198	 	Pyx	08h 45m 18.0s	-31º 46' 00"	11.2	nl	5	Praes	 
199	2669	Vel	08h 46m 19.0s	-52º 56' 06"	6.1v	25	12	Praes	18
200	2670	Vel	08h 45m 29.5s	-48º 47' 30"	7.8v	25	9	Plei	 
201	2671	Vel	08h 46m 11.9s	-41º 52' 38"	11.6v	(40)	4	Praes	 
202	Harv.3	Vel	08h 46m 30.0s	-52º 54' 00"	6.1p	22	12	Plei	18
203	Tr.10	Vel	08h 47m 54.0s	-42º 27' 00"	5.0v	18	29	Plei	 
204	2682 (M67)	Cnc	08h 51m 20.1s	+11º 48' 43"	6.9v	90	29	Praes	 
205	Markarian 18	Vel	09h 00m 32.0s	-48º 59' 06"	7.8v	8	5	μNorm	 
206	2818	Pyx	09h 16m 01.5s	-36º 37' 37"	8.2v	25	9	Praes	19
207	2849	Vel	09h 19m 22.9s	-40º 31' 13"	12.5v	(40)	2.3	Praes	 
208	IC2488	Vel	09h 27m 45.0s	-57º 40' 08"	7.4	70	18	Plei	 
209	2910	Vel	09h 30m 29.0s	-52º 54' 50"	7.2v	15	5	Plei	 
210	2925	Vel	09h 33m 10.9s	-53º 23' 45"	8.3v	30	12	Plei	 
211	2972	Vel	09h 40m 11.5s	-50º 19' 15"	9.9v	(25)	4	Praes	 
212	3033	Vel	09h 48m 39.1s	-56º 24' 42"	8.8v	(50)	5	Plei	 
213	 	Vel	09h 54m 35.0s	-50º 55' 11"	9.2p	21	17	Plei	 
214	3105	Vel	10h 00m 39.5s	-54º 47' 15"	9.7v	(20)	2	Praes	 
215	3114	Car	10h 02m 42.7s	-60º 06' 32"	4.2v	100	35	Plei	 
216	Tr.11	Car	10h 04m 58.6s	-61º 36' 54"	8.1p	15	5	Plei	 
217	Tr.12	Car	10h 06m 29.0s	-60º 18' 00"	8.8p	12	4	Plei	 
218	3228	Vel	10h 21m 22.2s	-51º 43' 57"	6.0v	22	5	Plei	 
219	Tr.13	Car	10h 23m 49.6s	-60º 08' 14 "	11.3	(40)	5	Plei	 
220	(incorrectly) 3247	Car	10h 25m 52.0s	-57º 55' 35"	7.6p	18	6	Plei	20
221	3255	Car	10h 26m 31.3s	-60º 40' 42"	11.0v	(30)	2	Glob	21
222	IC2581	Car	10h 27m 36.0s	-57º 40' 13"	4.0v	14	7	μNorm	 
223	 	Car	10h 30m 24.0s	-60º 05' 00"	9.4	30	9	Plei	 
224	3293	Car	10h 35m 53.8s	-58º 14' 10"	4.7v	(93)	5	Praes	 
225	3324	Car	10h 37m 18.7s	-58º 39' 36"	6.7	(44)	5	(Neb)	 
226	3330	Vel	10h 38m 47.5s	-54º 06' 56"	7.4v	20	6	Plei	 
227	Mel.101	Car	10h 42m 12.0s	-65º 06' 00"	8.0v	70	16	Praes	 
228	 	Car	10h 42m 04.0s	-59º 55' 00"	4.4v	50	14	Neb	 
229	IC2602	Car	10h 43m 23.0s	-64º 26' 13"	1.0v	24	100	Neb	 
230	Tr.14	Car	10h 43m 56.0s	-59º 33' 00"	5.5v	(44)	5	Neb	 
231	Tr.15	Car	10h 44m 43.0s	-59º 22' 00"	7.0v	15	15	Neb	 
232	 	Car	10h 44m 59.0s	-59º 33' 00"	6.8v	15	4	Plei	 
233	eta Car cluster (Tr 16)	Car	10h 45m 16.2s	-59º 43' 17"	5.0v	40	10	Neb	22
234	Tr 16	Car	10h 45m 21.0s	-59º 45' 00"	5.0v	(18)	3	Plei	22
235	Tr.17	Car	10h 56m 24.0s	-59º 12' 00"	8.4	25	5	Plei	 
236	 	Car	10h 57m 17.0s	-61º 06' 36"	7.7v	30	10	Plei	 
237	3496	Car	10h 59m 33.8s	-60º 20' 12"	8.2v	45	9	Praes	 
238	3532	Car	11h 05m 47.5s	-58º 46' 13"	3.0v	135	55x50	Praes	 
239	3572	Car	11h 10m 19.2s	-60º 14' 54"	6.6v	nl	6	Plei	23
240	 	Car	11h 10m 19.2s	-60º 14' 54"	n/a	20	n/a	Plei	23
241	Tr.18	Car	11h 11m 28.0s	-60º 40' 00"	6.9v	10	6	Plei	 
242	3590	Car	11h 12m 59.0s	-60º 47' 20"	8.2v	15	4	Plei	 
243	Tr.19	Car	11h 15m 07.0s	-57º 33' 00"	9.6v	(40)	10	Praes	24
244	3603	Car	11h 15m 06.6s	-61º 15' 40"	9.1v	(44)	2.5	Praes	 
245	IC2714	Car	11h 18m 08.0s	-62º 44' 21"	8.0v	120	15	Praes	 
246	Mel.105	Car	11h 19m 42.0s	-63º 29' 00"	8.5v	40±	5	Praes	 
247	3680	Cen	11h 25m 37.1s	-43º 15' 00"	7.6v	25	12	Praes	 
248	3766	Cen	11h 36m 14.4s	-61º 36' 36"	5.3v	137	12	Praes	 
249	 	Cen	11h 36m 52.0s	-63º 04' 24"	4.0v	25	65	Neb	 
250	3960	Cen	11h 50m 33.2s	-55º 40' 35"	8.3v	60	6	Praes	 
251	4052	Cru	12h 02m 05.2s	-63º 13' 24"	8.8v	60	10	Plei	 
252	4103	Cru	12h 06m 39.5s	-61º 15' 00"	7.4v	20±	6	Plei	 
253	4230	Cen	12h 17m 09.3s	-55º 17' 10"	9.4v	(15)	7x5	Plei	 
254	4337	Cru	12h 24m 03.3s	-58º 07' 25"	8.9v	20	3.5	Plei	25
255	4349	Cru	12h 24m 06.0s	-61º 52' 13"	7.4v	70	15	Praes	 
256	Mel.111	Com	12h 25m 00.0s	+26º 00' 00"	1.8v	30	275	Plei	 
257	 	Cru	12h 24m 45.9s	-60º 53' 12"	nl	12	5	Plei	26
258	Harv.5	Cru	12h 27m 10.0s	-60º 46' 00"	7.1v	(25)	5	Plei	26
259	4439	Cru	12h 28m 26.3s	-60º 06' 11"	8.4v	(20)	4	Plei	 
260	4463	Mus	12h 29m 55.2s	-64º 47' 23"	7.2v	18±	5	Plei	 
261	Harv.6	Mus	12h 37m 57.0s	-68º 22' 00"	10.7v	(100)	9	Praes	 
262	Tr.20	Cru	12h 39m 34.0s	-60º 37' 00"	10.1v	nl	7	Praes	 
263	4609	Cru	12h 42m 19.9s	-62º 59' 38"	6.9v	12	5	Plei	 
264	4755	Cru	12h 53m 37.1s	-60º 21' 22"	4.2v	(218)	10	Plei	27
265	4815	Mus	12h 57m 58.3s	-64º 57' 42"	8.6v	(100)	3	Praes	28
266	4852	Cen	13h 00m 14.5s	-59º 36' 58"	8.9v	20	11	Plei	 
267	5053	Com	13h 16m 27.0s	+17º 41' 52"	9.0v	nl	11	Praes	29
268	(Harvard 8)	Mus	13h 18m 13.0s	-67º 05' 00"	9.5v	30	5	Plei	 
269	 	Mus	13h 23m 31.0s	-66º 10' 48"	9.2p	nl	15	Plei	30
270	5138	Cen	13h 27m 15.2s	-59º 02' 27"	7.6v	15	7	Plei	 
271	 	Cen	13h 29m 54.0s	-64º 12' 00"	8.7v	16	5	Plei	 
272	 	Cen	13h 30m 26.0s	-61º 19' 00"	7.7v	15	10	Plei	 
273	5168	Cen	13h 31m 07.3s	-60º 56' 21"	9.1v	(50)	4	Praes	 
274	Tr.21	Cen	13h 32m 14.0s	-62º 48' 00"	7.7v	(20)	5	Praes	 
275	 	Cen	13h 34m 39.0s	-60º 12' 00"	10.2v	(20)	11	Plei	 
276	5281	Cen	13h 46m 35.1s	-62º 54' 59"	5.9v	(40)	8	Plei	 
277	 	Cir	13h 48m 00.0s	-66º 04' 00"	9.2v	(30)	15	Praes	 
278	5288	Cir	13h 48m 44.9s	-64º 41' 07"	11.8v	nl	4	Plei	 
279	5316	Cen	13h 53m 57.2s	-61º 52' 09"	6.0v	22	13	Plei	 
280	5460	Cen	14h 07m 27.7s	-48º 20' 33"	5.6v	50	35	Praes	 
281	5606	Cen	14h 27m 47.2s	-59º 37' 56"	7.7v	(15)	3	Plei	 
282	5617	Cen	14h 29m 44.0s	-60º 42' 39"	6.3v	60	10	Praes	 
283	Tr.22	Cen	14h 31m 02.0s	-61º 10' 00"	7.9v	15	10	Plei	31
284	5662	Cen	14h 35m 37.5s	-56º 37' 05"	5.5v	35	30	Plei	 
285	Ursa Major	Uma	12h 03m 00.0s	+58º 00' 00"	nl	nl	nl	nl	 
286	5715	Cir	14h 43m 29.7s	-57º 34' 37"	9.8v	20	5	Praes	 
287	5749	Lup	14h 48m 53.9s	-54º 29' 51"	8.8v	16	7	Plei	 
288	5764	Lup	14h 53m 32.2s	-52º 40' 14"	12.6v	12	3	nl	 
289	5822	Lup	15h 04m 21.2s	-54º 23' 47"	6.5v	100	39	Plei	 
290	5823	Cir	15h 05m 30.6s	-55º 36' 13"	7.9v	30	12	Plei	 
291	5925	Nor	15h 27m 26.7s	-54º 31' 43"	8.4v	45	20	Plei	 
292	 	Nor	15h 49m 51.0s	-57º 37' 11"	7.9v	(50)	15	Plei	 
293	5999	Nor	15h 52m 08.6s	-56º 28' 22"	9.0v	40	3	Praes	 
294	6005	Nor	15h 55m 48.7s	-57º 26' 14"	10.7v	14	3	Praes	32
295	Tr.23	Nor	16h 00m 48.0s	-53º 32' 00"	11.2v	25	9	Plei	 
296	6025	TrA	16h 03m 17.0s	-60º 25' 54"	5.1v	25	12	Plei	 
297	6031	Nor	16h 07m 35.0s	-54º 00' 54"	8.5v	(121)	2	Plei	 
298	6067	Nor	16h 13m 11.0s	-54º 13' 06"	5.6v	115	12	Praes	 
299	Harv.10	Nor	16h 19m 54.0s	-54º 58' 00"	6.9p	24	25	Plei	 
300	6087	Nor	16h 18m 50.5s	-57º 56' 04"	5.4v	30	12	Plei	 
301	6124	Sco	16h 25m 20.0s	-40º 39' 13"	5.8v	60	40	Praes	 
