Sharpless Index,Description
25,"The Lagoon nebula (M8 = NGC 6523-NGC 6530) isa large HII region mainly ionized by two O-class stars, the ultrahot O4V class 9 Sagittarii and the binary HD 165052 (O6.5V + O7.5V). Sharpless also lists 12 B-stars that may also ionise the nebula. It also includes the radio source W 29.The Lagoon nebula is a major feature of the Sgr OB1 association in the Sagittarius arm. It is embedded within a molecular cloud which extends to the star cluster NGC 6530. The Hourglass nebula lies within M8's core. This is a blister-type HII region which has been produced by the O7.5V star Herschel 36.There is a good image of the the Lagoon nebula here and an amazing wide angle image of the whole region that includes the entire RCW 146 complex and the Trifid nebula."
26,"This diffuse nebula is part of the large region of nebulosity near the Trifid nebula that includes RCW 145. No ionising stars for Sh 2-26 are listed in the scientific literature but the nebula clearly surrounds the O9 III giant LS 4511 so this may be the ionising star."
27,"This is an extended HII region around the nearby O9 V star Zeta Ophiuchi. The spectacular bow shock caused by this star as it ploughs through dense dust clouds near the Sco OB2 association can be seen in this infra-red image from the Milky Way Explorer."
28,"This large faint HII region next to the Trifid nebula is ionised by the O9Ib supergiant LS 4551 and the O-class LS 4538, It lies in the direction of the supernova remnant SNR G006.4-00.1 (W 28).You can view a SuperCOSMOS hydrogen-alpha image."
29,"Sh 2-29, Sh 2-31, and Sh 2-32 are a group of three nebulae next to the much larger Lagoon nebula. Sh 2-29 is the largest of the three. This group is combined together in the RCW (RCW 146c) and Gum (Gum 75) catalogs.Avedisova concludes that Sh 2-29 is ionised by the O9 IV subgiant HD 165921."
30,"The Trifid nebula, M 20, is an HII region ionised by the O7.5 class multiple star HD 164492 (with seven known components), which is a member of the star cluster NGC 6514. It is divided into three parts by dust lanes. A blue reflection nebula surrounds the HII region.The Trifid nebula is usually assumed to be part of the Sgr OB1 association in the Sagittarius arm, along with the Lagoon nebula. However, the surprisingly large range of distance estimates for the nebula leaves open the possibility that it lies much further away in the Centaurus arm."
31,"Sh 2-29, Sh 2-31, and Sh 2-32 are a group of three nebulae next to the much larger Lagoon nebula. This group is combined together in the RCW (RCW 146c) and Gum (Gum 75) catalogs.Avedisova lists two ionising stars for Sh 2-31: the O7V+O9V multiple HD 165921 and the B1 V multiple HD 166107."
32,"Sh 2-29, Sh 2-31, and Sh 2-32 are a group of three nebulae next to the much larger Lagoon nebula. This group is combined together in the RCW (RCW 146c) and Gum (Gum 75) catalogs. Also called IC 1274 and LBN 33, Sh 2-32 is near a major gamma ray source and numerous X-ray sources and has embedded OB stars. Avedisova lists two ionising stars, including the B1 V class CD -23 13997."
33,"The faint red glow of the nearby molecular cloud MBM 38.You can view a more detailed image of this nebula here."
34,"This large diffuse HII region, also called LBN 38, is near the Sgr OB1 association and the Lagoon nebula. According to Sharpless, it is associated with the B1 star HD 165516, which Humphreys places in the Sgr OB1 association. Gum also mentions the Wolf-Rayet star WR 111."
35,"Sh 2-35 and Sh 2-37 are part of a 130 thousand solar mass giant molecular cloud. Sh 2-35 appears along the western edge of this cloud. Sharpless connects this nebula to a number of stars, the hottest of which is the B0 IVPE star HD 312973, which Humphreys locates in the Sgr OB7 association.SIMBAD reports that HD 312973 is actually an O-class star."
36,"The faint rusty red glow of nearby giant molecular cloud MBM 39.You can view a more detailed image of this nebula here."
37,"Sh 2-37 lies in the direction of the ionising star cluster Dias 5. It is also known as IC 1283/1284 and the powerful radio source W 34.Sh 2-35 and Sh 2-37 are associated with a 130 thousand solar mass giant molecular cloud and appear to be part of the Sgr OB7 association. Sh 2-37 is visible through a hole in this molecular cloud. This is a very active star formation region.You can find an infrared image of part of this region here, full colour images here and here, and an analysis of the correct names for these objects here."
38,"Sh 2-38 is a tiny nebula that lies in the direction of the edge of the Sgr OB1 association. It has no significant references in the scientific literature and no ionising stars are known in this direction.An obvious bubble appears in this direction in this Spitzer infrared image. It is catalogued as bubble [CPA2006] N4."
39,"Sh 2-39 is a tiny nebula contained within the boundaries of the much larger Sh 2-41 in the direction of the Sgr OB4 association. There is a bubble in this direction in the MSX infrared data.Avedisova concludes that Sh 2-39 is ionised by the B1 III giant HD 167611 and the B2 III giant BD -18 4892 (HD 313050), at a distance of 2670 +/- 150 parsecs. She places the nebula in star formation region 12.46-1.07 along with a water maser and the young stellar object IRAS 18139-1842."
40,"Sh 2-40 appears as several bright knots of nebulosity extending above the much larger nebula Sh 2-41.Avedisova suggests that Sh 2-40 is ionised by the B-class star LSS 4756.The RCW catalog lists the bit of Sh 2-40 that is furthest from the galactic plane as RCW 155a and the brighter bits closer to the galactic plane as RCW 155b."
41,"Sh 2-41 is a large diffuse nebula and a major component of Messier 24, the Small Sagittarius Star Cloud. Although Messier 24 is not a real object (being made up of many objects at different distances), Sh 2-41 is a real HII region surrounding the Sgr OB4 association, which includes the multiple O7 III giant HD 167771. You can see an image of the entire Messier 24 region here."
42,"Sh 2-42 is believed to be the planetary nebula PN G013.3+01.1."
43,"This faint diffuse nebula is close in direction to the suspected supernova remnant GAL 013.1-00.5 and appears to be located in an empty region bordered by the OB regions Sgr OB1, Sgr OB7 and Sct OB3.Avedisova places Sh 2-43 / RCW 156 into star formation region SFR 13.62-0.76 along with two infrared sources and many molecular clouds.No ionising star for Sh 2-43 has been identified in the scientific literature and no ionising star in this direction appears in the Reed catalog or SIMBAD either. The bright star in this image is the K2 III giant HD 167720."
44,"This huge almost circular nebula is very prominent in hydrogen-alpha as can be seen in this SuperCOSMOS image.Avedisova concludes that it is ionised by the O6 V star HD 167633. Humphreys places this star in the Ser OB1 association in the Sagittarius arm. However, several other sources give larger distance estimates, placing this nebula in the Centaurus arm, where it may be part of the Scutum supershell."
45,"This is M 17, the Omega nebula, also called W 38, the Swan nebula, and the Lobster nebula among other names. This nebula is found in the Ser OB1 association.M 17 is ionised by an O4V-O4V double star system (Kleinmann's star) at the core of the massive young cluster NGC 6618 (about one million years old), which contains over 800 stars, including 2 O5V star systems and 100 stars hotter than B9 (by comparison, the Orion nebula contains 8 stars hotter than B9). The total ultraviolet flux is about 25 times higher than for the Orion nebula.A large part of the nebula is hidden by a dark dust lane that runs near the central cluster and splits the main visible nebula (Gum 81a) from two attached nebulae on the other side of the dust lane (Gum 81b - IC 4706 and IC 4707).M 17 is a blister on the side of a much larger giant molecular cloud and star formation region (M 17SW) that contains 30 thousand solar masses of molecular hydrogen.You can see a more detailed image of part of this massive star formation region and view a good overview of this entire region."
46,"This isolated nebula is located well above the galactic plane. Avedisova concludes that it is ionised by the potential runaway O9.5 Iab supergiant HD 165319, which may have been ejected from NGC 6611, the central star cluster of M 16, the Eagle nebula, about 1.8 million years ago."
47,"According to Avedisova, the ionising star for this small nebula is probably the B0.5 III giant star [L85] S47 3."
48,"This nebula may be associated with the Scutum supershell in the Centaurus arm. Avedisova places it in star formation region SFR 16.65-0.34 along with the molecular clouds SYCSW 164, SYCSW 164A and SRBY 52. She concludes that Sh 2-48 is ionised by the O8 V multiple star ADS 11285.The newly discovered dense star cluster Kronberger 25 appears in the same direction as Sh 2-48, although a tentative distance estimate for this cluster of about 2000 parsecs suggests that it may be a foreground object."
49,"This is M 16, the Eagle Nebula. It is part of the W 37 molecular cloud and is ionized by the NGC 6611 star cluster, which is part of the Ser OB1 association in the Sagittarius arm. NGC 6611 is dominated by the massive and superhot O3.5V+O7.5V class multiple star HD 168076, which has 75-80 solar masses and provides about half the ionising radiation for the nebula.There is a much better image of the Eagle nebula here. A region of M 16 was the subject of perhaps the most famous Hubble space telescope image, the 1995 Pillars of Creation."
50,"Sh 2-50 appears in the direction of the Sct OB3 association and the star cluster Dolidze 28, which has the Wolf-Rayet star WR 115 as its central star."
51,"There is an extremely faint diagonal band of nebulosity at this location, which is far below the galactic plane. SIMBAD says that this nebula is also LBN 65. This region is more easily visible in hydrogen-alpha. Sh 2-51 appears to be connected to the lower edge of the blowout ejected from a huge structure of 620 thousand solar masses of gas and dust in the inner galaxy called the Scutum Supershell."
52,"The faint blue glow comes from the planetary nebula also known as Abell 65. It is highly unusual for a planetary nebula because it contains an eclipsing binary central star. See Sh 2-313 for another example of such a blue planetary nebula with a binary central star."
53,"Sharpless notes that Sh 2-53 consists of ""About six detached portions"". The area is prominent at both radio and infrared frequencies.Avedisova places the nebula in the complex star formation region SFR 18.18-0.30, which includes 4 molecular clouds, a methanol maser and at least 4 additional HII regions visible at radio and infrared frequencies.You can view a good black and white hydrogen-alpha image here."
54,"This HII region is ionised by the young NGC 6604 star cluster, which includes the O5-8V+O5-8V+O8I supergiant multiple HD 167971 and the radio source W 35. It lies, unusually, about 70 parsecs above the galactic plane within the Ser OB2 association. Ser OB2 contains over 100 OB stars with a common age of about 5 million years.A good image of this nebula, which looks like a nest (Gum 84) carrying a tiny egg (Gum 85), can be seen here."
55,"This tiny HII region, also called LBN 73, may be part of the Scutum supershell. Sharpless concludes that it is ionised by BD -11 4665. Neither Sharpless nor SIMBAD give a class for this star. The dark nebula immediately below Sh 2-55 is LDN 412.Sh 2-55 is near a large nebular region in hydrogen-alpha that appears to mark the main boundary of the Scutum Supershell."
56,"This HII region is visible in infrared as the luminous water maser GAL 021.88+00.02."
57,"The tiny nebula Sh 2-57 is ionised by the B0.5 III giant BD -8 4623 within the Sct OB2 association in the Sagittarius arm."
58,"No ionising star has been identified in the scientific literature for Sh 2-58, which is prominent in infrared as the bubble [CPA2006] N30 as well as in radio.Avedisova includes Sh 2-58 in the star formation region SFR 23.13+0.55, along with the molecular cloud SYCSW 317 and the compact radio HII region [L89b] 23.115+0.556.Sh 2-57 and Sh 2-58 are visible together in the sky (as shown by this hydrogen-alpha image), divided by the dark nebula LDN 446 and just east of the Scutum Supershell. However, they seem to be located at quite different distances, with Sh 2-58 at about the same distance as the Supershell and Sh 2-57 in front of this region."
59,"No significant references appear in the scientific literature for this nebula, which lies in the approximate direction of the star cluster NGC 6664 and can be seen in hydrogen-alpha as the brightest portion of a much larger nebula at the edge of the Sct OB2 association. The hottest star in the direction of this diffuse nebula is the O6 class HD 172275."
60,"This large nebula is most often named GAL 025.4-00.2 or GAL 025.38-00.18 in the scientific literature. It has a bewildering number of different names in SIMBAD (not all cross-referenced).It may be associated with the radio source W 42.It is visible in infrared as the prominent bubble [CPA2006] N37 and appears to be ionised by an obscured O7 II giant.The radio source W 42 has wildly varying distance estimates (from 13400 parsecs to 2200 parsecs). If the near estimate of 2200 parsecs (which is from a recent paper published in 2000) is accepted, then W 42 is likely part of the Sh 2-60 nebula. Infrared imagery in the same paper shows that W 42 is energised by a massive, dense and young OB star cluster embedded in an obscuring dust cloud in the bottom left part of this image."
61,"This object is sometimes mistaken for a planetary nebula but in fact is a compact HII region ionised by at least 3 B1 stars and embedded in a 23 thousand solar mass molecular cloud.One of these stars, the emission star AS 310, is now believed to be a star cluster according to a SIMBAD note.A slightly more detailed hydrogen-alpha image of this nebula produced using data from SuperCOSMOS is available here."
62,"This tiny nebula is visible against and perhaps embedded in the Aquila Rift complex of dark clouds.Superimposed on this nebula is the B1.5e V Herbig Be star MWC 297.Avedisova includes Sh 2-62 in the star formation region SFR 26.81+3.54, along with MWC 297 and the Aquila Rift dark clouds."
63,"This is the high latitude molecular cloud MBM 159, which is located at a distance of about 220 pc and may form part of the Aquila rift."
64,"This is the W 40 star formation region, also called LBN 90, which is ionised by the three B1V stars W 40 OS 1a, W 40 OS 2a and W 40 OS 3a.It is obscured by the Aquila Rift dust clouds, which are located between W 40 and our solar system. A 2010 paper using the Herschel infrared space telescope argues that the W 40 complex is embedded in the Aquila Rift at a distance of about 260 parsecs.You can see this region much more clearly in this false-colour MSX 8Î¼m infrared A-band image."
65,"This nebula is ionised by the B1 II giant [F89b] S65 4, a star which is not yet in the SIMBAD catalog. Russeil combines together Sh 2-65 and Sh 2-66. Both are seen at radio frequencies to lie at the edge of the massive W 43 complex. (Note that W 43 is believed to be twice as far away however, in the galactic bar region.)"
66,"The exciting star for this HII region is the O9.5 III giant LS IV -02 16.Russeil combines together Sh 2-65 and Sh 2-66. Both are seen at radio frequencies to lie at the edge of the massive W 43 complex. (Note that W 43 is believed to be twice as far away however, in the galactic bar region.)"
67,"Also called LBN 94, this nearby nebula is ionised by the B0.5 V star BD -2 4752."
68,"The expansion of this 30 thousand year old planetary nebula has been halted by the surrounding local gas but the central star has continued to move so as a result the star is no longer at the centre of the nebula."
69,"This compact HII region is ionised by the B0.5 IV subgiant [F89b] S69 2. It is also a radio source and lies at the centre of a prominent infrared bubble."
70,"Although usually classified as an HII region, this peculiar high latitude nebula, also called LBN 102, looks more like a dust cloud in this image, and indeed this object is in the same direction as the small molecular cloud [CB88] 124."
71,"This is an unusual planetary nebula that appears to have a binary central star. The central star is variable with a period of 68 days and appears to be embedded in a dense core nebula."
72,"This relatively large HII region might be ionised by the B0.5 IV star BD +2 3762 according to Forbes, but this is uncertain.This nebula is prominent at radio frequencies as can be seen in this Effelsberg image and this VLA image and lies at the centre of a faint infrared ring as can be seen in MSX.You can find a good visual frequency image here."
73,"This local molecular cloud is also known as LBN 105, MBM 40 and IREC 53. MBM 40 contains 20 to 40 solar masses of gas. There are no signs of star formation. Like several other local molecular clouds, MBM 40 has a pronounced hairpin shape."
74,"This nebula is ionised by the O9V class Sherwood 182 ([F89b] S74 1). It is either at the same distance as the powerful radio source W 50, or sits in front of it, depending upon the authority. Both W 50 and Sh 2-74 can be seen in this radio image. This image suggests that W 50 is a distinct object but might be joined to Sh 2-74 by a spur visible at radio frequencies.The microquasar SS 433 is part of W 50. This bizarre object, also called V1343 Aquilae, is spewing out two jets of material at more than one-quarter the speed of light."
75,"There is very little to report about this faint, obscured nebula located above the galactic plane except that ammonia was detected in this direction in a 1996 study and it is prominent in infrared as can be seen in this MSX image.Sh 2-76 and several other prominent infrared sources are also located in a similar direction suggesting that there is something interesting in this region but there is little in the scientific literature about it. It is also significant that millimetre emission suggests the presence of dense molecular clouds in this direction. In this poster, the region is labeled ""Aquila Rift""."
76,"This nebula, located well above the galactic plane in the direction of the Aquila Rift dust clouds, is dim at visual frequencies but appears as a large bright bubble in infrared, as can be seen in this MSX image, and is also prominent at radio frequencies.The nebula lies in the same approximate direction as the radio source W45, but Westerhout noted that the identification of this radio source with Sh 2-76 was ""probably incorrect"".On the other hand, Avedisova includes W45 and Sh 2-76 together in star formation region SFR 40.44+2.45 along with 5 masers and several other HII regions visible in infrared."
77,"This appears to be ths same as the high velocity cloud [PDS2002] HIPASS HVC 378 = [DBB2002] 106."
78,"This is the old planetary nebula CTSS 3 and lies at a distance of 700 parsecs."
79,"The very faint nebula in the image may be ionised by the B 2.5V class star [F89b] S79 1. Other sources state that at least some of the visual emission in this direction may be associated with the supernova remnant SNR G49.2-0.7 (also called W51C) which is believed to be at a distance of 6 kpc.Avedisova combines Sh 2-79 and W51C in the star formation region SFR 48.96-0.55 along with four infrared sources."
80,"This is a ring nebula surrounding the runaway Wolf Rayet star WR 124, also known as Merrill's star.You can see this nebula in much greater detail in this Hubble image."
81,"Essentially nothing appears in the scientific literature on this nebula, which is located far below the galactic plane.Sh 2-81 can be clearly seen in this WISE infrared image."
82,"This combination HII region and reflection nebula, also called LBN 129 and DG 159, is ionised by the B0.5V star HD 231616. With the current distance estimate, it appears to be near the Vul OB4 association.A more detailed image of this nebula can be found here and a wider scale image here. The person who created the second image calls this the Little Cocoon nebula - but I prefer to think of this pretty region as the Locket nebula as it looks like a heart-shaped locket to me."
83,"This tiny HII region contains the infrared cluster [BDS2003] 13."
84,"This HII region, also called LBN 131, is near in the sky to the Wolf-Rayet star WR 128. Both Sharpless and Avedisova list WR 128 as an ionising star. However, there is some controversy about whether Sh 2-84 is part of the ring nebula surrounding this star or lies at another distance.A look at this region in hydrogen-alpha reveals that although WR 128 lies in this direction, Sh 2-84 appears to be the brightest part of an enormous ring of ionised gas that is not centred on WR 128 but may instead surround the O7.5 I supergiant QZ Sge. Given the size of the ring it may be much closer than the Wolf-Rayet star.It also seems possible that both QZ Sge and WR 128 contribute to the nebulosity seen in this direction and so Sh 2-84 is not a single object."
85,"This very faint nebula is ionised by the B3 V star HD 177347."
86,"The HII region NGC 6820 contains the radio source W55 and is ionised by the star cluster NGC 6823, which is part of the Vul OB1 association. You can view a more detailed visual image here. The true nature of the region is perhaps best understood by viewing this spectacular Spitzer infrared image."
87,"This massive star formation region is associated with a 7000 solar mass molecular cloud and many sources in the far infrared.You can see a good visual image of Sh 2-87 here and the Spitzer space telescope infrared view here."
88,"This nebula associated with the Vul OB1 association consists of three regions - star formation began in a diffuse large nebula Sh 2-88A, then spread to the compact HII region Sh 2-88B1, ionised by an O8.5-9.5 V star, and then finally spread to the ultracompact Sh 2-88B2, ionised by a star dimmer than B0.5 V.Avedisova lists three ionising stars: the O7 V star HD 338916, the O8.5 Ib supergiant HD 338926, and the B0.5 V star LS II +25 09.You can see the Spitzer space telescope infrared view here."
89,"According to a 1989 paper, Sh 2-89 is ionised by two uncatalogued O7 V and B1 V stars. Sh 2-86, Sh 2-87, Sh 2-88 and Sh 2-89 are part of the HI supershell GSH 061+00+51. Sh 2-89 and Sh 2-90 lie at the north-east boundary of the dark nebula LDN 798.You can see the Spitzer infrared image of this nebula here and a detailed IPHAS hydrogen-alpha image here."
90,"Sh 2-90 is a blister on a 60 thousand solar mass molecular cloud and appears to be affected by gas streaming from the Vul OB1 association. It contains a cometary elephant trunk structure on its eastern edge which appears to have originated from a past disturbance from the southwest.A more detailed visible light image of this nebula can be found here and the Spitzer infrared view here."
91,"Sh 2-91, Sh 2-94 and Sh 2-96 are all filaments of the supernova remnant SNR 065.2+05.7, which has a diameter of about 70 parsecs and an age of about 20 thousand years. Avedisova places Sh 2-91 in the star formation region SFR 64.06+4.42, along with the Footprint nebula.The image here shows only a small section of this nebula. You can view a larger and more detailed image of this nebula here."
92,"Sh 2-92 is ionised by the Wolf-Rayet star WR 127, a binary star with an O9V companion.Avedisova adds a second ionising star, the O7 Ib supergiant HD 332755."
93,"Ionised by the O9V star [F89b] S93 1 and contains the infrared star cluster [BDS2003] 16.You can see a Spitzer infrared image here."
94,"Sh 2-91, Sh 2-94 and Sh 2-96 are all filaments of the supernova remnant SNR 065.2+05.7, which has a diameter of about 70 parsecs and an age of about 20 thousand years."
95,"This is the planetary nebula NGC 6842."
96,"Sh 2-91, Sh 2-94 and Sh 2-96 are all filaments of the supernova remnant SNR 065.2+05.7, which has a diameter of about 70 parsecs and an age of about 20 thousand years."
97,"Sh 2-97 is ionised by at least four stars - two B1V, one B0.5V and one with a spectral type between O9V and B0V.MSX appears to reveal a bubble-like structure for Sh 2-97 in infrared."
98,"This is a ring nebula associated with a 3000 solar mass molecular cloud and the Wolf-Rayet star WR 130.It contains the infrared star cluster [BDS2003] 17.A faint ring can be seen in infrared in this MSX image."
99,"This star formation complex is embedded in the massive W58 radio source and molecular cloud, and is catalogued by Avedisova as SFR 70.29+1.60. The region also includes Sh 2-100, 5 masers, and numerous additional radio and infrared sources including 7 HII regions.Available distance estimates suggests that the W58 molecular cloud is located in the Perseus arm.The W58 region can be seen in this MSX infrared image."
100,"This star formation complex is embedded in the massive W58 radio source and molecular cloud, and is catalogued by Avedisova as SFR 70.29+1.60. The region also includes Sh 2-99, 5 masers, and numerous additional radio and infrared sources including 7 HII regions.Sh 2-100 itself consists of two distinct nebulae - K3-50 (W58A) and NGC 6857.Available distance estimates suggests that the W58 molecular cloud is located in the Perseus arm.The W58 region can be seen in this MSX infrared image."
101,"Avedisova lists 6 ionising stars for the Tulip nebula, including the ultrahot O4 I multiple supergiant HD 190429, the O6.5 III giant HD 227018, and the O9.7 I multiple supergiant HD 226868.Humphreys places HD 227018 in the Cyg OB3 association. As you can see from this false colour hydrogen-alpha image, the Tulip nebula is located at the edge of the Cyg OB3 association.The HD 226868 star system is best known because it includes the powerful X-ray source and suspected black hole Cyg X-1.Available distance estimates place the Tulip nebula and Cyg OB3 in the Orion spur, some distance behind the Cygnus X star formation region.You can see the setting for the Tulip nebula in this amazing wide angle image.This MSX image reveals that the Tulip nebula is just a small portion of a much larger nebula visible in infrared."
102,"The faint red arc of nebulosity is almost lost in the glare of the F5Iab supergiant 41 Cygni.Avedisova associates Sh 2-102 with the Lynds dark nebula LDN 844 and places them both in the star formation region SFR 71.40-5.31."
103,"This is the Cygnus Loop supernova remnant, also known as the radio source W78. A small part of this huge 10 thousand year old object is displayed in the image.You can see an image of the entire object in hydrogen-alpha here and in x-rays here."
104,"Lahulla identifies two potential ionising stars: the O5 V [L85] S104 4 = [CGG78] S104 Anon 3 and the B0 V [L85] S104 3.Avedisova gives a slightly cooler O6V class for the main ionising star. She places Sh 2-104 in the star forming region SFR 74.74+0.61 with the star cluster Dolidze 4 and the HII region DWB 14.You can see a good image of this nebula here. Sh 2-104 is prominent in infrared as can be seen in this MSX 8Î¼m image."
105,"NGC 6888, the Crescent nebula, is a wind blown bubble originating from the Wolf-Rayet star WR 136.The Hubble Space Telescope has taken an interesting closeup image of this nebula.A good image of this nebula is here, and amazing wide field images of the whole region in Cygnus are here and here."
106,"Despite its appearance, this is not a planetary nebula, but a bipolar nebula embedded in a giant molecular cloud and star formation region ionised by an O8 star, Sh 2-106 IR. Avedisova catalogs this region as SFR 76.38-0.61, with 49 distinct components, including 4 masers.You can see a radio image of Sh 2-106 here, and a spectacular optical/infrared composite image here.This MSX infrared image shows that Sh 2-106 is embedded in the tip of a much larger pillar of gas and dust."
107,"Very little about this tiny and very faint nebula located well below the galactic plane appears in the scientific literature.Sharpless suggests that Sh 2-107 may be ionised by the B2 class HD 197460. SIMBAD says that this star is actually a B0.5 Ib supergiant and according to this catalog entry, the star has 9.5 +/- 0.2 solar masses and an age of 22.6 +/- 2.7 million years.Humphreys gives a distance estimate of 2000 parsecs for HD 197460 (and a slightly different class of B1 II(N)). This is at the lower limit of the distance estimate for Sh 2-107 so it is indeed conceivable that this star ionises the nebula."
108,"Sh 2-108 is sometimes called the Gamma Cygni nebula because of the foreground appearance of the F8Iab supergiant (also called Sadr). In fact this nebula lies far beyond Gamma Cygni in the depths of the Cygnus X complex of star formation regions.This nebula is also called DWB 63 and is the location of the radio source W66. According to Avedisova, DWB 63 is ionised by Gamma Cygni, the O8 V class HD 229202 and the B2 Ib supergiant HD 193946. Gamma Cygni is now known to be located in the foreground. SIMBAD agrees with the classes for the other two ionising stars.Avedisova includes Sh 2-108 in star formation region SFR 78.18+1.82 along with the supernova remnant DR4, the infrared star cluster [BDB2003] G077.46+01.76 and numerous other nearby HII regions."
