object,type,comments,p-object
NGC7142,Open Cluster,Herschel 400 H66-7,
NGC7160,Open Cluster,Herschel 400 H67-8,
NGC7226,Open Cluster,P140,
NGC7235,Open Cluster,P7,
NGC7261,Open Cluster,P8,
NGC7354,Planetary Nebula,P257,
NGC7380,Open Cluster,"Herschel 400 H77-8, inside the Wizard Nebula",
NGC7510,Open Cluster,Herschel 400 H44-7,
NGC7538,Emission Nebula,P94,
NGC7762,Open Cluster,P141,
NGC7822,HII,Ionized Nebula P33,
IC1613,Galaxy,C51,
NGC45,Galaxy,P225,
NGC157,Galaxy,Herschel 400 H3-2,
NGC210,Galaxy,P251,
NGC246,Planetary Nebula,"C56, Herschel 400 H25-5 Skull Nebula",
NGC247,Galaxy,"C62, Herschel 400 H20-5 Claw Galaxy",
NGC578,Galaxy,P221,
NGC584,Galaxy,Herschel 400 H100-1,
NGC596,Galaxy,Herschel 400 H4-2,
NGC615,Galaxy,Herschel 400 H282-2,
NGC720,Galaxy,Herschel 400 H105-1,
NGC779,Galaxy,Herschel 400 H101-1,
NGC864,Galaxy,P124,
NGC908,Galaxy,Herschel 400 H153-1,
NGC936,Galaxy,Herschel 400 H23-4,
NGC988,Galaxy,"P324, partially obscured by Star SAO 129994",
NGC1022,Galaxy,Herschel 400 H102-1,
NGC1042,Galaxy,P148,
NGC1052,Galaxy,Herschel 400 H63-1,
NGC1055,Galaxy,Herschel 400 H1-1,
NGC1068,Galaxy,M77 Squid Galaxy,
NGC1073,Galaxy,P205,
NGC1087,Galaxy,P227 Saint Nikola’s Prayer Galaxy,
NGC4147,Globular Cluster,Herschel 400 H19-1,
NGC4150,Galaxy,Herschel 400 H73-1,
NGC4192,Galaxy,M98,
NGC4203,Galaxy,Herschel 400 H175-1,
NGC4212,Galaxy,P193,
NGC4245,Galaxy,Herschel 400 H74-1,
NGC4251,Galaxy,Herschel 400 H89-1,
NGC4254,Galaxy,M99 Saint Catherine’s Wheel Galaxy,
NGC4274,Galaxy,Herschel 400 H75-1,
NGC4278,Galaxy,Herschel 400 H90-1,
NGC4293,Galaxy,Herschel 400 H5-5,
NGC4314,Galaxy,Herschel 400 H76-1,
NGC4321,Galaxy,M100,
NGC4340,Galaxy,"P54, paired with NGC 4350",
NGC4350,Galaxy,"Herschel 400 H86-2, paired with NGC 4340",
NGC4382,Galaxy,"M85, paired with NGC 4394",
NGC4394,Galaxy,"Herschel 400 H55-2, paired with M85 (NGC 4382)",
NGC4414,Galaxy,Herschel 400 H77-1 Dusty Spiral Galaxy,
NGC4419,Galaxy,Herschel 400 H113-1,
NGC4448,Galaxy,Herschel 400 H91-1,
NGC4450,Galaxy,Herschel 400 H56-2,
NGC4459,Galaxy,Herschel 400 H161-1,
NGC4473,Galaxy,Herschel 400 H114-2,
NGC4477,Galaxy,Herschel 400 H115-2,
NGC4494,Galaxy,Herschel 400 H83-1,
NGC4501,Galaxy,M88,
NGC4548,Galaxy,"M91, Herschel 400 H120-2",
NGC4559,Galaxy,"C36, Herschel 400 H92-1",
NGC4565,Galaxy,"C38, Herschel 400 H24-5 Needle Galaxy",
NGC4651,Galaxy,P222,
NGC4689,Galaxy,Herschel 400 H128-2,
NGC4710,Galaxy,P175,
NGC4725,Galaxy,Herschel 400 H84-1,
NGC4826,Galaxy,M64 Black Eye Galaxy,
NGC4889,Galaxy,C35,
NGC5024,Globular Cluster,M53,
NGC5053,Globular Cluster,P78,
NGC4027,Galaxy,Herschel 400 H296-2,
NGC4038,Galaxy,"C60, Herschel 400 H28.1-4 Antenna Galaxy (North)",
NGC4039,Galaxy,"C61, Herschel 400 H28.2-4 Antenna Galaxy (South)",
NGC4361,Planetary Nebula,Herschel 400 H65-1 Garden Sprinkler Nebula,
NGC3511,Galaxy,P181,
NGC3887,Galaxy,P105,
NGC3892,Galaxy,P53,
NGC3962,Galaxy,Herschel 400 H67-1,
NGC3981,Galaxy,P245,
IC1318,Emission Nebula,"P24 Gamma Cygni Nebula, includes Sadr SAO 49528",
IC1369,Open Cluster,P11,
IC4996,Open Cluster,P16,
IC5068,HII,Ionized Nebula P359 Forsaken Nebula,
IC5070,HII,"Ionized Nebula P79 Pelican Nebula, includes IC 5067",
IC5076,Reflection Nebula,P186,
IC5117,Planetary Nebula,P223,
IC5146,Emission/Reflect,Neb C19 Cocoon Nebula,
NGC6811,Open Cluster,P10 Hole Cluster,
NGC6819,Open Cluster,P12,
NGC6826,Planetary Nebula,"C15, Herschel 400 H73-4 Blinking Planetary Nebula",
NGC6833,Planetary Nebula,P278,
NGC6834,Open Cluster,Herschel 400 H16-8,
NGC6857,HII,Ionized Nebula P64,
NGC6866,Open Cluster,Herschel 400 H59-7,
NGC6871,Open Cluster,P9,
NGC6883,Open Cluster,P17,
NGC6884,Planetary Nebula,P195,
NGC6888,HII,Ionized Nebula C27 Crescent Nebula,
NGC6894,Planetary Nebula,P349,
NGC6910,Open Cluster,Herschel 400 H56-8,
NGC6913,Open Cluster,M29 Cooling Tower Cluster,
NGC6914,Reflection Nebula,P143,
NGC6946,Galaxy,"C12, Herschel 400 H76-4 Fireworks Galaxy",
NGC6960,Supernova Remnant,C34 Veil Nebula (West),
NGC6992,Supernova Remnant,"C33 Veil Nebula (East), includes NGC 6995 and IC 1340",
NGC6996,Asterism,"P224, included in NGC 7000 North America Nebula",
NGC6997,Open Cluster,"P145, included in NGC 7000 North America Nebula",
NGC7000,HII,"Ionized Nebula C20, Herschel 400 H37-5 North America Nebula",
NGC7008,Planetary Nebula,Herschel 400 H192-1,
NGC7026,Planetary Nebula,P147,
NGC7027,Planetary Nebula,P25 Jewel Bug Nebula,
NGC7039,Open Cluster,P13,
NGC7044,Open Cluster,Herschel 400 H24-6,
NGC7048,Planetary Nebula,P226,
NGC7062,Open Cluster,Herschel 400 H51-7,
NGC7063,Open Cluster,P14,
NGC7067,Open Cluster,P149,
NGC7082,Open Cluster,P15,
NGC7086,Open Cluster,Herschel 400 H32-6,
NGC7092,Open Cluster,M39,
NGC7128,Open Cluster,Herschel 400 H40-7,
NGC6891,Planetary Nebula,P152,
NGC6905,Planetary Nebula,Herschel 400 H16-4 Blue Flash Nebula,
NGC6934,Globular Cluster,"C47, Herschel 400 H103-1",
NGC7006,Globular Cluster,"C42, Herschel 400 H52-1",
NGC3147,Galaxy,Herschel 400 H79-1,
NGC4125,Galaxy,P26,
NGC4236,Galaxy,C3,
NGC4589,Galaxy,P279,
NGC4750,Galaxy,P292,
NGC5866,Galaxy,"M102, Herschel 400 H215-1",
NGC5907,Galaxy,Herschel 400 H759-2 Splinter Galaxy,
NGC5982,Galaxy,Herschel 400 H764-2,
NGC6015,Galaxy,P151,
NGC6340,Galaxy,P142,
NGC6503,Galaxy,P80 Shooting Star Galaxy,
NGC6543,Planetary Nebula,"C6, Herschel 400 H37-4 Cat’s Eye Nebula",
NGC6643,Galaxy,P194,
IC2118,Reflection Nebula,P112 Witch Head Nebula,
NGC1084,Galaxy,Herschel 400 H64-1,
NGC1187,Galaxy,P293,
NGC1232,Galaxy,P28 Eye of God Galaxy,
NGC1300,Galaxy,P81,
NGC1332,Galaxy,P82,
NGC1395,Galaxy,P228,
NGC1400,Galaxy,P367,
NGC1407,Galaxy,Herschel 400 H107-1,
NGC1535,Planetary Nebula,Herschel 400 H26-4 Cleopatra’s Eye Nebula,
NGC1600,Galaxy,P299,
NGC1637,Galaxy,P286,
NGC1700,Galaxy,P305,
NGC1097,Galaxy,C67,
NGC1201,Galaxy,P153,
NGC1255,Galaxy,P178,
NGC1302,Galaxy,P154,
NGC1360,Planetary Nebula,P84 Robin’s Egg Nebula,
NGC1367,Galaxy,P85,
NGC1385,Galaxy,P300,
NGC1398,Galaxy,P32,
NGC1425,Galaxy,P86,
IC443,Supernova Remnant,P249 Jellyfish Nebula,
IC444,Reflection Nebula,P306,
IC2157,Open Cluster,P156,
NGC2129,Open Cluster,Herschel 400 H26-8,
NGC2158,Globular Cluster,Herschel 400 H17-6,
NGC2168,Open Cluster,M35 Shoe Buckle Cluster,
NGC2266,Open Cluster,Herschel 400 H21-6,
NGC2304,Open Cluster,Herschel 400 H2-6,
NGC2331,Open Cluster,P157,
NGC2355,Open Cluster,Herschel 400 H6-6,
NGC2371,Planetary Nebula,Herschel 400 H316-2 Double Bubble Nebula (South),
NGC2372,Planetary Nebula,Herschel 400 H317-2 Double Bubble Nebula (North),
NGC2392,Planetary Nebula,"C39, Herschel 400 H45-4 Eskimo Nebula",
NGC2395,Open Cluster,Herschel 400 H11-8,
NGC2420,Open Cluster,Herschel 400 H1-6,
IC4593,Planetary Nebula,P158 White Eyed Pea Nebula,
NGC6205,Globular Cluster,M13 Great Hercules Globular Cluster,
NGC6207,Galaxy,Herschel 400 H701-2,
NGC6210,Planetary Nebula,P34 Turtle Nebula,
NGC6229,Globular Cluster,Herschel 400 H50-4,
NGC6341,Globular Cluster,M92,
NGC2548,Open Cluster,"M48, Herschel 400 H22-6",
NGC2784,Galaxy,P87,
NGC2811,Galaxy,Herschel 400 H505-2,
NGC2835,Galaxy,P291,
NGC2935,Galaxy,P263,
NGC2986,Galaxy,P297,
NGC3078,Galaxy,P243,
NGC3091,Galaxy,P317,
NGC3109,Galaxy,P88,
NGC3242,Planetary Nebula,"C59, Herschel 400 H27-4 Ghost of Jupiter Nebula",
NGC3311,Galaxy,P98,
NGC3585,Galaxy,P35,
NGC3621,Galaxy,Herschel 400 H241-1,
NGC3717,Galaxy,P345,
NGC3904,Galaxy,P310,
NGC3923,Galaxy,P89,
NGC4105,Galaxy,"P284, paired with NGC 4106",
NGC4590,Globular Cluster,M68,
NGC5061,Galaxy,P264,
NGC5078,Galaxy,P304,
NGC5101,Galaxy,P271,
NGC5236,Galaxy,M83 Southern Pinwheel Galaxy,
NGC5694,Globular Cluster,"C66, Herschel 400 H196-2",
IC1434,Open Cluster,P159,
IC5217,Planetary Nebula,P230 Little Saturn Nebula,
NGC7209,Open Cluster,Herschel 400 H53-7,
NGC7243,Open Cluster,"C16, Herschel 400 H75-8",
NGC7245,Open Cluster,P161,
NGC7296,Open Cluster,Herschel 400 H41-7,
NGC2903,Galaxy,Herschel 400 H56-1,
NGC2964,Galaxy,Herschel 400 H114-1,
NGC3190,Galaxy,Herschel 400 H44-2,
NGC3193,Galaxy,Herschel 400 H45-2,
NGC3226,Galaxy,"Herschel 400 H28-2, paired with NGC 3227",
NGC3227,Galaxy,"Herschel 400 H29-2, paired with NGC 3226",
NGC3351,Galaxy,M95,
NGC3338,Galaxy,P307,
NGC3368,Galaxy,M96,
NGC3377,Galaxy,Herschel 400 H99-2,
NGC3379,Galaxy,"M105, Herschel 400 H17-1",
NGC3384,Galaxy,Herschel 400 H18-1,
NGC3412,Galaxy,Herschel 400 H27-1,
NGC3489,Galaxy,Herschel 400 H101-2,
NGC3521,Galaxy,Herschel 400 H13-1,
NGC3593,Galaxy,Herschel 400 H29-1,
NGC3607,Galaxy,"Herschel 400 H50-2, paired with NGC 3608",
NGC3608,Galaxy,"Herschel 400 H51-2, paired with NGC 3607",
NGC3623,Galaxy,M65,
NGC3626,Galaxy,"C40, Herschel 400 H52-2",
NGC3627,Galaxy,M66,
NGC3628,Galaxy,Herschel 400 H8-5 Hamburger Galaxy,
NGC3640,Galaxy,Herschel 400 H33-2,
NGC3646,Galaxy,P180,
NGC3655,Galaxy,Herschel 400 H5-1,
NGC3686,Galaxy,Herschel 400 H160-2,
NGC3705,Galaxy,P311,
NGC3810,Galaxy,Herschel 400 H21-1,
NGC3900,Galaxy,Herschel 400 H82-1,
NGC3912,Galaxy,Herschel 400 H342-2,
NGC2859,Galaxy,Herschel 400 H137-1,
NGC3245,Galaxy,Herschel 400 H86-1,
NGC3277,Galaxy,Herschel 400 H359-2,
NGC3294,Galaxy,Herschel 400 H164-1,
NGC3344,Galaxy,Herschel 400 H81-1,
NGC3395,Galaxy,Herschel 400 H116-1,
NGC3414,Galaxy,Herschel 400 H362-2,
NGC3432,Galaxy,Herschel 400 H172-1,
NGC3486,Galaxy,Herschel 400 H87-1,
NGC3504,Galaxy,Herschel 400 H88-1,
IC418,Planetary Nebula,P90 Spirograph Nebula,
NGC1904,Globular Cluster,M79,
NGC1964,Galaxy,Herschel 400 H21-4,
NGC2196,Galaxy,P327,
NGC5812,Galaxy,P46,
NGC5897,Globular Cluster,Herschel 400 H19-6,
NGC2419,Globular Cluster,"C25, Herschel 400 H218-1 Intergalactic Wanderer",
NGC2549,Galaxy,P252,
NGC2683,Galaxy,Herschel 400 H200-1 UFO Galaxy,
NGC2782,Galaxy,Herschel 400 H167-1,
NGC6720,Planetary Nebula,M57 Ring Nebula,
NGC6743,Open Cluster,P312,
NGC6779,Globular Cluster,M56,
NGC6791,Open Cluster,P162,
IC447,HII,Ionized Nebula P125 Dreyer’s Nebula,
IC448,HII,Ionized Nebula P172,
IC2177,HII,Ionized Nebula P52 Seagull Nebula includes Star SAO 152320 at center,
NGC2149,Reflection Nebula,P303,
NGC2170,Reflection Nebula,P296,
NGC2182,Reflection Nebula,P262,
NGC2185,Reflection Nebula,Herschel 400 H20-4,
NGC2215,Open Cluster,Herschel 400 H20-7,
NGC2232,Open Cluster,Herschel 400 H25-8,
NGC2236,Open Cluster,P163,
NGC2237,HII,"Ionized Nebula C49 Rosette Nebula, includes NGC 2238 and NGC 2246",
NGC2239,Open Cluster,"P254, embedded in NGC 2237 Rosette Nebula",
NGC2244,Open Cluster,"C50, Herschel 400 H2-7, embedded in NGC 2237",
NGC2245,Reflection Nebula,P255,
NGC2250,Open Cluster,P164,
NGC2251,Open Cluster,Herschel 400 H3-8,
NGC2252,Open Cluster,P91,
NGC2254,Open Cluster,P165,
NGC2259,Open Cluster,P231,
NGC2261,Reflection Nebula,C46 Hubble’s Variable Nebula,
NGC2262,Open Cluster,P232,
NGC2264,Open Cluster,"H 400 H27-5 Cone Nebula, H5-8 Christmas Tree Cluster",
NGC2269,Open Cluster,P166,
NGC2282,HII,Ionized Nebula P269,
NGC2286,Open Cluster,Herschel 400 H31-8,
NGC2299,Open Cluster,P167,
NGC2301,Open Cluster,Herschel 400 H27-6,
NGC2309,Open Cluster,P233,
NGC2311,Open Cluster,Herschel 400 H60-8,
NGC2323,Open Cluster,M50 Heart Shaped Cluster,
NGC2324,Open Cluster,Herschel 400 H38-7,
NGC2335,Open Cluster,"Herschel 400 H32-8, overlaps IC 2177 Seagull Nebula",
NGC2343,Open Cluster,"Herschel 400 H33-8, overlaps IC 2177 Seagull Nebula",
NGC2346,Planetary Nebula,P283 Butterfly Nebula,
NGC2353,Open Cluster,Herschel 400 H34-8,
NGC2368,Open Cluster,P235,
NGC2506,Open Cluster,"C54, Herschel 400 H37-6",
IC4603,Reflection Nebula,"P325, part of Rho Ophiuchi Cloud Complex",
IC4604,Reflection Nebula,P313 Rho Ophiuchi Nebula,
IC4634,Planetary Nebula,P168,
IC4665,Open Cluster,P36,
NGC6171,Globular Cluster,"M107, Herschel 400 H40-6 Crucifix Cluster",
NGC6218,Globular Cluster,M12 Gumball Globular Cluster,
NGC6235,Globular Cluster,Herschel 400 H584-2,
NGC6254,Globular Cluster,M10,
NGC6266,Globular Cluster,M62 Flickering Globular Cluster,
NGC6273,Globular Cluster,M19,
NGC6284,Globular Cluster,Herschel 400 H11-6,
NGC6287,Globular Cluster,Herschel 400 H195-2,
NGC6293,Globular Cluster,Herschel 400 H12-6,
NGC6304,Globular Cluster,Herschel 400 H147-1,
NGC6309,Planetary Nebula,P236 Box Nebula,
NGC6316,Globular Cluster,Herschel 400 H45-1,
NGC6325,Globular Cluster,P169,
NGC6333,Globular Cluster,M9,
NGC6342,Globular Cluster,Herschel 400 H149-1,
NGC6355,Globular Cluster,Herschel 400 H46-1,
NGC6356,Globular Cluster,Herschel 400 H48-1,
NGC6366,Globular Cluster,P37,
NGC6369,Planetary Nebula,Herschel 400 H11-4 Little Ghost Nebula,
NGC6384,Galaxy,P320,
NGC6401,Globular Cluster,Herschel 400 H44-1,
NGC6402,Globular Cluster,M14,
NGC6426,Globular Cluster,Herschel 400 H587-2,
NGC6517,Globular Cluster,Herschel 400 H199-2,
NGC6572,Planetary Nebula,P38 Emerald Nebula,
NGC6633,Open Cluster,Herschel 400 H72-8,
IC431,Reflection Nebula,P361,
IC432,Reflection Nebula,P362,
IC434,HII,"Ionized/Dark Neb P92, includes Barnard 33 Horsehead Nebula",
IC435,Reflection Nebula,P368,
IC2162,Emission Nebula,P358,
NGC1662,Open Cluster,P39,
NGC1788,Reflection Nebula,Herschel 400 H32-5,
NGC1976,HII,"Ionized Nebula M42 Great Orion Nebula, includes Trapezium Cluster",
NGC1977,Reflection Nebula,"P40 Running Man Nebula, includes NGC 1975",
NGC1980,Open Cluster,Herschel 400 H31-5 Lost Jewel of Orion Cluster,
NGC1981,Open Cluster,P41,
NGC1982,HII,Ionized Nebula M43 DeMairan Nebula,
NGC1999,Reflection/Dark,Neb Herschel 400 H33-4 Cosmic Keyhole Nebula,
NGC2022,Planetary Nebula,Herschel 400 H34-4,
NGC2023,Emission/Reflect,Neb P93,
NGC2024,Emission Nebula,Herschel 400 H28-5 Flame Nebula,
NGC2064,Reflection Nebula,P356,
NGC2067,Reflection Nebula,P357,
NGC2068,Reflection Nebula,M78,
NGC2071,Reflection Nebula,P42,
NGC2112,Open Cluster,P170,
NGC2141,Open Cluster,P171,
NGC2169,Open Cluster,Herschel 400 H24-8 The 37 Cluster,
NGC2174,HII,Ionized Nebula P43 Monkey Head Nebula,
NGC2175,Open Cluster,"P369, overlaps NGC 2174 Monkey Head Nebula",
NGC2180,Open Cluster,P321,
NGC2186,Open Cluster,Herschel 400 H25-7,
NGC2194,Open Cluster,Herschel 400 H5-6,
NGC7078,Globular Cluster,M15 Great Pegasus Globular Cluster,
NGC7177,Galaxy,P370,
NGC7217,Galaxy,Herschel 400 H207-2,
NGC7331,Galaxy,"C30, Herschel 400 H53-1",
NGC7332,Galaxy,P288 Paired with NGC 7339,
NGC7448,Galaxy,Herschel 400 H251-2,
NGC7457,Galaxy,P173,
NGC7479,Galaxy,"C44, Herschel 400 H55-1 Superman Galaxy",
NGC7619,Galaxy,P346,
NGC7626,Galaxy,P108,
NGC7814,Galaxy,C43 Little Sombrero Galaxy,
IC348,Open Cluster,P95,
IC351,Planetary Nebula,P351,
IC2003,Planetary Nebula,P237,
IC2067,Reflection Nebula,P326,
NGC650/NGC651,Planetary Nebula,"M76, Herschel 400 H193-1 Little Dumbell Nebula",
NGC744,Open Cluster,P96,
NGC869,Open Cluster,"C14a, Herschel 400 H33-6 Double Cluster (West)",
