arp_number,names,comment
275,NGC 2881,Interacting galaxy pair
276,"NGC 935,IC 1801",Interacting galaxy pair
277,"NGC 4809,NGC 4810",Interacting galaxy pair
278,NGC 7253,Interacting galaxy pair
279,"NGC 1253,NGC 1253A",Interacting galaxy pair
280,"NGC 3769,NGC 3769A",Interacting galaxy pair
281,"NGC 4627,NGC 4631",Spiral galaxy with companion dwarfelliptical galaxy
282,"NGC 169,NGC 169A",Spiral galaxy with smaller companion galaxy
283,"NGC 2798,NGC 2799",Interacting galaxy pair
284,"NGC 7714,NGC 7715",Interacting galaxy pair
285,"NGC 2854,NGC 2856",Galaxy pair
286,"NGC 5560,NGC 5566,NGC 5569",Interacting galaxy triplet
287,"NGC 2735,NGC 2735A",Galaxy pair
288,"NGC 5221,NGC 5222",Galaxy triplet
289,NGC 3981,Peculiarspiral galaxy
290,"IC 195,IC 196",Interacting galaxy pair
291,UGC 5832,Irregular galaxy
292,IC 575,Peculiarspiral galaxy
293,"NGC 6285,NGC 6286",Interacting galaxy pair
294,"NGC 3786,NGC 3788",Interacting galaxy pair
295,Arp 295,Interacting galaxy pair
296,Arp 296,
297,Arp 297,Interacting galaxies within a galaxy group
298,"NGC 7469,IC 5283",Galaxy pair
299,Arp 299,Galaxy triplet
300,Arp 300,Galaxy group
301,"UGC 6204,UGC 6207",Galaxy pair
302,UGC 9618,Galaxy pair
303,"IC 563,IC 564",Galaxy pair
304,"NGC 1241,NGC 1242",Galaxy pair
305,"NGC 4016,NGC 4017",Galaxy pair
306,UGC 1102,Galaxy group with two galaxy pairs
307,"NGC 2872,NGC 2874",Galaxy pair
308,"NGC 545,NGC 547",Galaxy pair
309,"NGC 942,NGC 943",Galaxy pair
310,IC 1259,Galaxy pair
311,IC 1258,
312,MCG +08-31-004,
313,"NGC 3994,NGC 3995",
314,"MCG -03-58-009,MCG -03-58-010,MCG -03-58-011",
315,"NGC 2830,NGC 2831,NGC 2832",
316,"NGC 3187,NGC 3190,NGC 3193",
317,"M65, Leo Triplet",
318,NGC 833and companions,
319,"Stephan's Quintet, NGC7320",
320,Copeland's Septet,
321,Hickson 40A-E,
322,UGC 6527,
323,Hickson 98A-D,
324,UGC 10143,
325,"ESO601-G018A+B, MCG -04-52-014",
326,UGC 8610,
327,"NGC 1875,Hickson 34A-D",
328,"UGC 9532,Hickson 72",
329,UGC 6514,
330,"I Zw 167,MCG +09-27-094",
331,"Pisces Cloud, NGC 379",
332,"NGC 1228,NGC 1229,NGC 1230,IC 1892",
333,NGC 1024,
334,UGC 8498,
335,NGC 3509,
336,NGC 2685,
337,"M82, Cigar Galaxy",
338,PGC 3094767,
